source,target,weight,edge_type,product_id,supplier,product_name,effective_unit_cost,reference_unit_cost,savings_per_unit,savings_pct,capacity_units,supplier_capacity,purchase_lines,last_purchase
OPTION:5004:CORPORACION PROMELAB E I R L,SINK:5004,0.0,finish_product,5004,CORPORACION PROMELAB E.I.R.L.,,,,,,,,,
PRODUCT:5004,OPTION:5004:ENVIPLAST E I R L,-1e-05,historical_saving,5004,ENVIPLAST E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,1.199989,1.199999,1e-05,8e-06,100.0,2050.0,5.0,2026-03-31
OPTION:5004:ENVIPLAST E I R L,SINK:5004,0.0,finish_product,5004,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5004,OPTION:5004:ESNA MEDIC INVERSIONES S A C,1e-06,at_or_above_reference,5004,ESNA MEDIC INVERSIONES S.A.C.,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,1.2,1.199999,-1e-06,-1e-06,200.0,3650.0,1.0,2025-09-15
OPTION:5004:ESNA MEDIC INVERSIONES S A C,SINK:5004,0.0,finish_product,5004,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5004,OPTION:5004:QUESITO SA,0.480001,at_or_above_reference,5004,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,1.68,1.199999,-0.480001,-0.400001,50.0,850.0,1.0,2025-03-12
OPTION:5004:QUESITO SA,SINK:5004,0.0,finish_product,5004,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5005,0.0,start_product,5005,,,,,,,,,,
PRODUCT:5005,OPTION:5005:ENVIPLAST E I R L,-0.05,historical_saving,5005,ENVIPLAST E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,1.4,1.45,0.05,0.034483,205.0,2050.0,7.0,2026-03-28
OPTION:5005:ENVIPLAST E I R L,SINK:5005,0.0,finish_product,5005,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5005,OPTION:5005:ESNA MEDIC INVERSIONES S A C,-0.05,historical_saving,5005,ESNA MEDIC INVERSIONES S.A.C.,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,1.4,1.45,0.05,0.034483,100.0,3650.0,1.0,2025-09-15
OPTION:5005:ESNA MEDIC INVERSIONES S A C,SINK:5005,0.0,finish_product,5005,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5005,OPTION:5005:MULTIGLASS PLASTIC E I R L,0.05,at_or_above_reference,5005,MULTIGLASS & PLASTIC E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,1.5,1.45,-0.05,-0.034483,2350.0,2350.0,4.0,2026-04-15
OPTION:5005:MULTIGLASS PLASTIC E I R L,SINK:5005,0.0,finish_product,5005,MULTIGLASS & PLASTIC E.I.R.L.,,,,,,,,,
PRODUCT:5005,OPTION:5005:QUESITO SA,0.51,at_or_above_reference,5005,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,1.96,1.45,-0.51,-0.351724,50.0,850.0,1.0,2025-03-12
OPTION:5005:QUESITO SA,SINK:5005,0.0,finish_product,5005,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5006,0.0,start_product,5006,,,,,,,,,,
PRODUCT:5006,OPTION:5006:ENVIPLAST E I R L,0.0,at_or_above_reference,5006,ENVIPLAST E.I.R.L.,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,1.6,1.6,0.0,0.0,100.0,2050.0,8.0,2025-09-02
OPTION:5006:ENVIPLAST E I R L,SINK:5006,0.0,finish_product,5006,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5006,OPTION:5006:ESNA MEDIC INVERSIONES S A C,0.0,at_or_above_reference,5006,ESNA MEDIC INVERSIONES S.A.C.,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,1.6,1.6,0.0,0.0,100.0,3650.0,2.0,2025-11-24
OPTION:5006:ESNA MEDIC INVERSIONES S A C,SINK:5006,0.0,finish_product,5006,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5006,OPTION:5006:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5006,COMERCIAL FERRETERA SARASARA S.A.C.,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,1.6,1.6,0.0,0.0,100.0,4424.0,1.0,2026-01-01
OPTION:5006:COMERCIAL FERRETERA SARASARA S A C,SINK:5006,0.0,finish_product,5006,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
PRODUCT:5006,OPTION:5006:QUESITO SA,0.64,at_or_above_reference,5006,QUESITO SA,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPONFRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,2.24,1.6,-0.64,-0.4,50.0,850.0,1.0,2025-03-12
OPTION:5006:QUESITO SA,SINK:5006,0.0,finish_product,5006,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5007,0.0,start_product,5007,,,,,,,,,,
PRODUCT:5007,OPTION:5007:IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,-0.444995,historical_saving,5007,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,TAPA DISPENSADORA BLANCO B28MM,0.455,0.8999955,0.444995,0.494441,1000.0,2000.0,4.0,2026-04-06
OPTION:5007:IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,SINK:5007,0.0,finish_product,5007,IMPORTACIONES JIM SAN CHANG SOCIEDAD ANONIMA CERRADA,,,,,,,,,
PRODUCT:5007,OPTION:5007:GENPLAST S A C,-0.309996,historical_saving,5007,GENPLAST S.A.C.,TAPA DISPENSADORA BLANCO B28MM,0.59,0.8999955,0.309996,0.344442,500.0,9200.0,1.0,2025-04-14
OPTION:5007:GENPLAST S A C,SINK:5007,0.0,finish_product,5007,GENPLAST S.A.C.,,,,,,,,,
PRODUCT:5007,OPTION:5007:ENVIPLAST E I R L,-0.099995,historical_saving,5007,ENVIPLAST E.I.R.L.,NEGROTAPA DISPENSADORA BLANCO B28MM,0.8,0.8999955,0.099995,0.111106,30.0,2050.0,2.0,2025-07-09
OPTION:5007:ENVIPLAST E I R L,SINK:5007,0.0,finish_product,5007,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5007,OPTION:5007:VARIOS,0.099996,at_or_above_reference,5007,VARIOS,TAPA DISPENSADORA BLANCO B28MM,0.999991,0.8999955,-0.099996,-0.111107,100.0,100.0,1.0,2025-04-02
OPTION:5007:VARIOS,SINK:5007,0.0,finish_product,5007,VARIOS,,,,,,,,,
PRODUCT:5007,OPTION:5007:QUESITO SA,0.500004,at_or_above_reference,5007,QUESITO SA,TAPA DISPENSADOR BLANCOTAPA DISPENSADORA BLANCO B28MM,1.4,0.8999955,-0.500004,-0.555563,22.0,850.0,1.0,2025-03-12
OPTION:5007:QUESITO SA,SINK:5007,0.0,finish_product,5007,QUESITO SA,,,,,,,,,
PRODUCT:5007,OPTION:5007:VIPLASTIC S A C,0.500004,at_or_above_reference,5007,VIPLASTIC S.A.C.,TAPA DISPENSADORA BLANCO B28MM,1.4,0.8999955,-0.500004,-0.555563,25.0,250.0,1.0,2025-06-09
OPTION:5007:VIPLASTIC S A C,SINK:5007,0.0,finish_product,5007,VIPLASTIC S.A.C.,,,,,,,,,
SOURCE,PRODUCT:5008,0.0,start_product,5008,,,,,,,,,,
PRODUCT:5008,OPTION:5008:QUESITO SA,0.0,at_or_above_reference,5008,QUESITO SA,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJAFRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,2.8,2.8,0.0,0.0,22.0,850.0,1.0,2025-03-12
OPTION:5008:QUESITO SA,SINK:5008,0.0,finish_product,5008,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5009,0.0,start_product,5009,,,,,,,,,,
PRODUCT:5009,OPTION:5009:ESNA MEDIC INVERSIONES S A C,0.0,at_or_above_reference,5009,ESNA MEDIC INVERSIONES S.A.C.,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,0.65,0.65,0.0,0.0,100.0,3650.0,2.0,2025-11-02
OPTION:5009:ESNA MEDIC INVERSIONES S A C,SINK:5009,0.0,finish_product,5009,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5009,OPTION:5009:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5009,COMERCIAL FERRETERA SARASARA S.A.C.,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,0.65,0.65,0.0,0.0,100.0,4424.0,1.0,2025-11-25
OPTION:5009:COMERCIAL FERRETERA SARASARA S A C,SINK:5009,0.0,finish_product,5009,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
PRODUCT:5009,OPTION:5009:ENVIPLAST E I R L,0.0,at_or_above_reference,5009,ENVIPLAST E.I.R.L.,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,0.65,0.65,0.0,0.0,25.0,2050.0,1.0,2025-04-30
OPTION:5009:ENVIPLAST E I R L,SINK:5009,0.0,finish_product,5009,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5009,OPTION:5009:QUESITO SA,0.26,at_or_above_reference,5009,QUESITO SA,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,0.91,0.65,-0.26,-0.4,24.0,850.0,1.0,2025-03-12
OPTION:5009:QUESITO SA,SINK:5009,0.0,finish_product,5009,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5010,0.0,start_product,5010,,,,,,,,,,
PRODUCT:5010,OPTION:5010:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5010,COMERCIAL FERRETERA SARASARA S.A.C.,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,0.7,0.7,0.0,0.0,100.0,4424.0,1.0,2025-11-25
OPTION:5010:COMERCIAL FERRETERA SARASARA S A C,SINK:5010,0.0,finish_product,5010,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
PRODUCT:5010,OPTION:5010:ESNA MEDIC INVERSIONES S A C,0.0,at_or_above_reference,5010,ESNA MEDIC INVERSIONES S.A.C.,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,0.7,0.7,0.0,0.0,100.0,3650.0,1.0,2025-10-10
OPTION:5010:ESNA MEDIC INVERSIONES S A C,SINK:5010,0.0,finish_product,5010,ESNA MEDIC INVERSIONES S.A.C.,,,,,,,,,
PRODUCT:5010,OPTION:5010:QUESITO SA,0.28,at_or_above_reference,5010,QUESITO SA,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAYPROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,0.98,0.7,-0.28,-0.4,25.0,850.0,1.0,2025-03-12
OPTION:5010:QUESITO SA,SINK:5010,0.0,finish_product,5010,QUESITO SA,,,,,,,,,
SOURCE,PRODUCT:5011,0.0,start_product,5011,,,,,,,,,,
PRODUCT:5011,OPTION:5011:ENVIPLAST E I R L,-7e-06,historical_saving,5011,ENVIPLAST E.I.R.L.,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,0.799993,0.8,7e-06,9e-06,100.0,2050.0,10.0,2026-04-07
OPTION:5011:ENVIPLAST E I R L,SINK:5011,0.0,finish_product,5011,ENVIPLAST E.I.R.L.,,,,,,,,,
PRODUCT:5011,OPTION:5011:COMERCIAL FERRETERA SARASARA S A C,0.0,at_or_above_reference,5011,COMERCIAL FERRETERA SARASARA S.A.C.,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,0.8,0.8,0.0,0.0,100.0,4424.0,2.0,2025-12-03
OPTION:5011:COMERCIAL FERRETERA SARASARA S A C,SINK:5011,0.0,finish_product,5011,COMERCIAL FERRETERA SARASARA S.A.C.,,,,,,,,,
