product_id,product_name,product_type,subtype,material,color,capacity_value,capacity_unit,mouth_size_mm,size_text,closure_type,accessory,shape,feature,brand,use_category,material_family,keywords,confidence,attribute_confidence,extraction_method,rules_version,attribute_evidence
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,5.0,ML,,,chupon,chupon|tapa,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""GOTERO"", ""VIDRIO"", ""AMBAR"", ""5ML"", ""TAPA"", ""CHUPON""]",0.9229,"{""product_type"": 0.95, ""subtype"": 0.94, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""GOTERO"", ""subtype"": ""CHUPON"", ""accessory"": ""CHUPON|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""5ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,10.0,ML,,,chupon,chupon|tapa,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""GOTERO"", ""VIDRIO"", ""AMBAR"", ""10ML"", ""TAPA"", ""CHUPON""]",0.9229,"{""product_type"": 0.95, ""subtype"": 0.94, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""GOTERO"", ""subtype"": ""CHUPON"", ""accessory"": ""CHUPON|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""10ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,15.0,ML,,,chupon,chupon|tapa,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""GOTERO"", ""VIDRIO"", ""AMBAR"", ""15ML"", ""TAPA"", ""CHUPON""]",0.9229,"{""product_type"": 0.95, ""subtype"": 0.94, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""GOTERO"", ""subtype"": ""CHUPON"", ""accessory"": ""CHUPON|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""15ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,20.0,ML,,,chupon,chupon|tapa,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""GOTERO"", ""VIDRIO"", ""AMBAR"", ""20ML"", ""TAPA"", ""CHUPON""]",0.9229,"{""product_type"": 0.95, ""subtype"": 0.94, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""GOTERO"", ""subtype"": ""CHUPON"", ""accessory"": ""CHUPON|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""20ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,30.0,ML,,,chupon,chupon|tapa,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""GOTERO"", ""VIDRIO"", ""AMBAR"", ""30ML"", ""TAPA"", ""CHUPON""]",0.9229,"{""product_type"": 0.95, ""subtype"": 0.94, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""GOTERO"", ""subtype"": ""CHUPON"", ""accessory"": ""CHUPON|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""30ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,50.0,ML,,,chupon,chupon|tapa,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""GOTERO"", ""VIDRIO"", ""AMBAR"", ""50ML"", ""TAPA"", ""CHUPON""]",0.9229,"{""product_type"": 0.95, ""subtype"": 0.94, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""GOTERO"", ""subtype"": ""CHUPON"", ""accessory"": ""CHUPON|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""50ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,gotero,chupon,VIDRIO,AMBAR,100.0,ML,,,chupon,chupon|tapa,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""GOTERO"", ""VIDRIO"", ""AMBAR"", ""100ML"", ""TAPA"", ""CHUPON""]",0.9229,"{""product_type"": 0.95, ""subtype"": 0.94, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""GOTERO"", ""subtype"": ""CHUPON"", ""accessory"": ""CHUPON|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""100ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5007,TAPA DISPENSADORA BLANCO B28MM,tapa,dispensador,,BLANCO,,,28.0,,dispensador,tapa,,,,general,,"[""TAPA"", ""DISPENSADORA"", ""BLANCO"", ""B28MM""]",0.865,"{""product_type"": 0.9, ""subtype"": 0.95, ""accessory"": 0.88, ""color"": 0.94, ""mouth_size"": 0.92, ""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": ""TAPA,TAPON,VALVULA,DISPENSADOR,ATOMIZADOR"", ""subtype"": ""DISPENSADOR,DISPENSADORA"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": ""BLANCO"", ""capacity"": """", ""mouth_size"": ""B28MM"", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,frasco,,VIDRIO,AMBAR,125.0,ML,,,,tapa|atomizador_espray,,importado,,empaque_envase,VIDRIO,"[""FRASCO"", ""VIDRIO"", ""AMBAR"", ""IMPORTADO"", ""125ML"", ""TAPA"", ""ESPRAY"", ""BAJA""]",0.8943,"{""product_type"": 0.93, ""accessory"": 0.88, ""feature"": 0.8, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": """", ""accessory"": ""TAPA,TAPON|ESPRAY"", ""shape"": """", ""feature"": ""IMPORTADO,IMPORTADA"", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""125ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,atomizador,atomizador,VIDRIO,,2.0,ML,,,atomizador,tapa,,,,general,VIDRIO,"[""PROBADOR"", ""VIDRIO"", ""TRASPARENTE"", ""2ML"", ""TAPA"", ""SPRAY""]",0.8733,"{""product_type"": 0.92, ""subtype"": 0.95, ""accessory"": 0.88, ""material"": 0.94, ""capacity"": 0.95, ""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": ""BOMBA,ATOMIZADORA,ATOMIZADOR,SPRAY,GATILLO,PULVERIZADOR,TRIGGER"", ""subtype"": ""ATOMIZADOR,SPRAY"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": """", ""capacity"": ""2ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,atomizador,atomizador,VIDRIO,,3.0,ML,,,atomizador,tapa,,,,general,VIDRIO,"[""PROBADOR"", ""VIDRIO"", ""TRASPARENTE"", ""3ML"", ""TAPA"", ""SPRAY""]",0.8733,"{""product_type"": 0.92, ""subtype"": 0.95, ""accessory"": 0.88, ""material"": 0.94, ""capacity"": 0.95, ""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": ""BOMBA,ATOMIZADORA,ATOMIZADOR,SPRAY,GATILLO,PULVERIZADOR,TRIGGER"", ""subtype"": ""ATOMIZADOR,SPRAY"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": """", ""capacity"": ""3ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,atomizador,atomizador,VIDRIO,,5.0,ML,,,atomizador,tapa,,,,general,VIDRIO,"[""PROBADOR"", ""VIDRIO"", ""TRASPARENTE"", ""5ML"", ""TAPA"", ""SPRAY""]",0.8733,"{""product_type"": 0.92, ""subtype"": 0.95, ""accessory"": 0.88, ""material"": 0.94, ""capacity"": 0.95, ""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": ""BOMBA,ATOMIZADORA,ATOMIZADOR,SPRAY,GATILLO,PULVERIZADOR,TRIGGER"", ""subtype"": ""ATOMIZADOR,SPRAY"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": """", ""capacity"": ""5ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,atomizador,atomizador,VIDRIO,,10.0,ML,,,atomizador,tapa,,,,general,VIDRIO,"[""PROBADOR"", ""VIDRIO"", ""TRASPARENTE"", ""10ML"", ""TAPA"", ""SPRAY""]",0.8733,"{""product_type"": 0.92, ""subtype"": 0.95, ""accessory"": 0.88, ""material"": 0.94, ""capacity"": 0.95, ""use_category"": 0.6}",deterministic_rules,2026-06-11,"{""product_type"": ""BOMBA,ATOMIZADORA,ATOMIZADOR,SPRAY,GATILLO,PULVERIZADOR,TRIGGER"", ""subtype"": ""ATOMIZADOR,SPRAY"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": """", ""capacity"": ""10ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""default"", ""brand"": """"}"
5013,FRASCO PARA RIMEL 5ML(9CM X 1CM) CON TAPA,frasco,rimel,,,5.0,ML,,9CM X 1CM,,tapa,,,,cosmetica,,"[""FRASCO"", ""RIMEL"", ""5ML"", ""9CM"", ""1CM"", ""TAPA""]",0.9217,"{""product_type"": 0.93, ""subtype"": 0.95, ""accessory"": 0.88, ""capacity"": 0.95, ""size_text"": 0.93, ""use_category"": 0.89}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": ""RIMEL"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": ""5ML"", ""mouth_size"": """", ""size_text"": ""9CM X 1CM"", ""use_category"": ""RIMEL,LIPSTICK,CREMERO,COSMET,BULLET,AIRLESS"", ""brand"": """"}"
5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA,cremero,cremero,,,30.0,GR,,,,laina|tapa,,,,cosmetica,,"[""POTE"", ""CREMERO"", ""SIMPLE"", ""30GR"", ""TAPA"", ""LAINA""]",0.926,"{""product_type"": 0.94, ""subtype"": 0.95, ""accessory"": 0.9, ""capacity"": 0.95, ""use_category"": 0.89}",deterministic_rules,2026-06-11,"{""product_type"": ""CREMERO,VASELINERO"", ""subtype"": ""CREMERO"", ""accessory"": ""LAINA|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": ""30GR"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""RIMEL,LIPSTICK,CREMERO,COSMET,BULLET,AIRLESS"", ""brand"": """"}"
5015,POTE PLASTICO 1KG B110 BLANCO C/TAPA,pote,,PLASTICO,BLANCO,1.0,KG,110.0,,,tapa,,,,empaque_envase,PLASTICO,"[""POTE"", ""PLASTICO"", ""1KG"", ""B110"", ""BLANCO"", ""TAPA""]",0.91,"{""product_type"": 0.92, ""accessory"": 0.88, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""mouth_size"": 0.92, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""POTE,CREMERO"", ""subtype"": """", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""PLASTICO"", ""color"": ""BLANCO"", ""capacity"": ""1KG"", ""mouth_size"": ""B110 "", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5016,FRASCO VIDRIO AMBAR HOMBRO CAIDO 250ML TAPA ESPRAY PISTOLA,frasco,,VIDRIO,AMBAR,250.0,ML,,,,tapa|atomizador_espray|dispensador_pistola,,,,empaque_envase,VIDRIO,"[""FRASCO"", ""VIDRIO"", ""AMBAR"", ""HOMBRO"", ""CAIDO"", ""250ML"", ""TAPA"", ""ESPRAY""]",0.91,"{""product_type"": 0.93, ""accessory"": 0.88, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": """", ""accessory"": ""TAPA,TAPON|ESPRAY|PISTOLA"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""AMBAR"", ""capacity"": ""250ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA,cremero,cremero,,,60.0,GR,,,,laina|tapa,,,,cosmetica,,"[""POTE"", ""CREMERO"", ""SIMPLE"", ""60GR"", ""TAPA"", ""LAINA""]",0.926,"{""product_type"": 0.94, ""subtype"": 0.95, ""accessory"": 0.9, ""capacity"": 0.95, ""use_category"": 0.89}",deterministic_rules,2026-06-11,"{""product_type"": ""CREMERO,VASELINERO"", ""subtype"": ""CREMERO"", ""accessory"": ""LAINA|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": ""60GR"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""RIMEL,LIPSTICK,CREMERO,COSMET,BULLET,AIRLESS"", ""brand"": """"}"
5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,frasco,atomizador,,,30.0,ML,,,atomizador,tapa,,,,cosmetica,,"[""FRASCO"", ""BULLET"", ""30ML"", ""TAPA"", ""ATOMIZADOR""]",0.92,"{""product_type"": 0.93, ""subtype"": 0.95, ""accessory"": 0.88, ""capacity"": 0.95, ""use_category"": 0.89}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": ""ATOMIZADOR,SPRAY"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": ""30ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""RIMEL,LIPSTICK,CREMERO,COSMET,BULLET,AIRLESS"", ""brand"": """"}"
5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,frasco,atomizador,,,60.0,ML,,,atomizador,tapa,,,,cosmetica,,"[""FRASCO"", ""BULLET"", ""60ML"", ""TAPA"", ""ATOMIZADOR""]",0.92,"{""product_type"": 0.93, ""subtype"": 0.95, ""accessory"": 0.88, ""capacity"": 0.95, ""use_category"": 0.89}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": ""ATOMIZADOR,SPRAY"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": """", ""color"": """", ""capacity"": ""60ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""RIMEL,LIPSTICK,CREMERO,COSMET,BULLET,AIRLESS"", ""brand"": """"}"
5020,FRASCO ESMALTE 5ML VIDRIO TRANSPARENTE CON BROCHA Y TAPA,frasco,esmalte,VIDRIO,TRANSPARENTE,5.0,ML,,,,brocha|tapa,,,,ferreteria,VIDRIO,"[""FRASCO"", ""ESMALTE"", ""5ML"", ""VIDRIO"", ""TRANSPARENTE"", ""BROCHA"", ""TAPA""]",0.92,"{""product_type"": 0.93, ""subtype"": 0.92, ""accessory"": 0.92, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.84}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": ""ESMALTE"", ""accessory"": ""BROCHA|TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""VIDRIO"", ""color"": ""TRANSPARENTE"", ""capacity"": ""5ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""PINTURA,BROCHA,TORNILLO,TUERCA,MANGUERA"", ""brand"": """"}"
5021,FRASCO PET TRANSPARENTE ESPUMERO 100ML CON TAPA,frasco,espumero,PET,TRANSPARENTE,100.0,ML,,,,tapa,,,,empaque_envase,POLIETILENO TEREFTALATO,"[""FRASCO"", ""PET"", ""TRANSPARENTE"", ""ESPUMERO"", ""100ML"", ""TAPA""]",0.9186,"{""product_type"": 0.93, ""subtype"": 0.97, ""accessory"": 0.88, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": ""ESPUMERO"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""PET"", ""color"": ""TRANSPARENTE"", ""capacity"": ""100ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5022,FRASCO PET TRANSPARENTE ESPUMERO 150ML CON TAPA,frasco,espumero,PET,TRANSPARENTE,150.0,ML,,,,tapa,,,,empaque_envase,POLIETILENO TEREFTALATO,"[""FRASCO"", ""PET"", ""TRANSPARENTE"", ""ESPUMERO"", ""150ML"", ""TAPA""]",0.9186,"{""product_type"": 0.93, ""subtype"": 0.97, ""accessory"": 0.88, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": ""ESPUMERO"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""PET"", ""color"": ""TRANSPARENTE"", ""capacity"": ""150ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5023,FRASCO PET TRANSPARENTE 30ML C/TAPA FLIT TOP N18,frasco,,PET,TRANSPARENTE,30.0,ML,18.0,,,tapa,,,,empaque_envase,POLIETILENO TEREFTALATO,"[""FRASCO"", ""PET"", ""TRANSPARENTE"", ""30ML"", ""TAPA"", ""FLIT"", ""TOP"", ""N18""]",0.9114,"{""product_type"": 0.93, ""accessory"": 0.88, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""mouth_size"": 0.92, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": """", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""PET"", ""color"": ""TRANSPARENTE"", ""capacity"": ""30ML"", ""mouth_size"": ""N18"", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
5024,FRASCO PET BLANCO ESPUMERO 150ML CON TAPA,frasco,espumero,PET,BLANCO,150.0,ML,,,,tapa,,,,empaque_envase,POLIETILENO TEREFTALATO,"[""FRASCO"", ""PET"", ""BLANCO"", ""ESPUMERO"", ""150ML"", ""TAPA""]",0.9186,"{""product_type"": 0.93, ""subtype"": 0.97, ""accessory"": 0.88, ""material"": 0.94, ""color"": 0.94, ""capacity"": 0.95, ""use_category"": 0.82}",deterministic_rules,2026-06-11,"{""product_type"": ""FRASCO,BOTELLA,ENVASE"", ""subtype"": ""ESPUMERO"", ""accessory"": ""TAPA,TAPON"", ""shape"": """", ""feature"": """", ""material"": ""PET"", ""color"": ""BLANCO"", ""capacity"": ""150ML"", ""mouth_size"": """", ""size_text"": """", ""use_category"": ""BOLSA,CAJA,ENVASE,FRASCO,POTE"", ""brand"": """"}"
